date,dju
2009-01-15,519.7	 	 	 	 	 	 	 	 	 	 	 	 	
2009-02-15,399.2
2009-03-15,341.1 
2009-04-15,197.1
2009-05-15,158.8
2009-06-15,90.3
2009-07-15,53.4
2009-08-15,47
2009-09-15,86.1
2009-10-15,189.9
2009-11-15,251.9
2009-12-15,457.4	
2010-01-15,535.2  	 	 	 	 	 	 	 	 	 	 	 	
2010-02-15,404.3
2010-03-15,340.1
2010-04-15,239.5
2010-05-15,215.7
2010-06-15,82.1
2010-07-15,36.1
2010-08-15,66.6
2010-09-15,116.1
2010-10-15,216.4
2010-11-15,358.6
2010-12-15,561.6
2011-01-15,429.9	 	 	 	 	 	 	 	 	 	 	 	
2011-02-15,332.1 	
2011-03-15,298.4 	 	 	 	 	 	 	 	 	
2011-04-15,160.3
2011-05-15,146
2011-06-15,88.9
2011-07-15,79.4
2011-08-15,61.4
2011-09-15,72.4
2011-10-15,173.2
2011-11-15,275
2011-12-15,354.2
2012-01-15,383.8 	 	 	 	 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
2012-02-15,485.9
2012-03-15,269.7
2012-04-15,291.6
2012-05-15,160.7
2012-06-15,94.1
2012-07-15,69.2
2012-08-15,47.7
2012-09-15,118.4
2012-10-15,200.9
2012-11-15,327.4
2012-12-15,381.1	
2013-01-15,453.4 	 	 	 	 	 	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 	 	
2013-02-15,432.2
2013-03-15,434.4
2013-04-15,280.6
2013-05-15,219.5
2013-06-15,98.2
2013-07-15,31.9
2013-08-15,57.8
2013-09-15,100.4
2013-10-15,156.6
2013-11-15,341.1
2013-12-15,385.6
2014-01-15,364.6 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
2014-02-15,310.3
2014-03-15,278.5
2014-04-15,198.2
2014-05-15,169.5
2014-06-15,79.6
2014-07-15,42.6
2014-08-15,75.3
2014-09-15,70.5
2014-10-15,146.3
2014-11-15,261.3
2014-12-15,405.3
2015-01-15,432.9 	 	 	 	 	 	 	 	 	 	 	 	
2015-02-15,395.1
2015-03-15,326.7
2015-04-15,213.8
2015-05-15,169.4
2015-06-15,87.9
2015-07-15,56.9
2015-08-15,45.1
2015-09-15,136
2015-10-15,218.1
2015-11-15,230.8
2015-12-15,269.1	
2016-01-15,404 	 	 	 	 	 	 	 	 	 	 	 	
2016-02-15,362.5
2016-03-15,360.2
2016-04-15,284.2
2016-05-15,149.4
2016-06-15,74.1
2016-07-15,54
2016-08-15,45.5
2016-09-15,54.8
2016-10-15,221.5
2016-11-15,323.7
2016-12-15,428.7
2017-01-15,487.4 	 	 	 	 	 	 	 	 	 	 	 	
2017-02-15,319.3
2017-03-15,256.2
2017-04-15,260.2
2017-05-15,133.7
2017-06-15,58.3
2017-07-15,48.1
2017-08-15,54.1
2017-09-15,111
2017-10-15,149.1
2017-11-15,318.7
2017-12-15,395

