SITES,Year,R1,R2
SAIEM PRINTEMPS,2016,36718,32211
SAIEM NIVERNAIS,2016,16357,13069
SAIEM MELLEVILLE 1,2016,13135,11435
SAIEM MELLEVILLE 2,2016,22298,20648
H2 - 315L,2016,54488,50412
H3 - 150L,2016,54488,50412
H4 - 150L,2016,54488,50412
MACONNAIS,2016,54488,50412
PELVOUX,2016,54488,50412
ROUERGUES,2016,54488,50412
H1 VALAIS,2016,54488,50412
ST1,2016,54488,50412
ST2,2016,54488,50412
ST4,2016,54488,50412
SECO - M4,2016,44016,40872
SECOMILE BOURGOGNE,2016,11641,8856
SECO - M3,2016,114057,98677
BAT M5 - CHALEUR (D15339Z-01),2016,18605,17079
CC1+CC2 ,2016,1765,6763
CLOS MADELON,2016,33554,23112
FOYER RESIDENCE DU PARC,2016,26606,18782
RESIDENCE FER A CHEVAL,2016,45304,32260
RESIDENCE DU PARC,2016,64546,54837
RESIDENCE HAUTEVILLE,2016,23155,16300
RESIDENCE WINSTON CHURCHILL,2016,18130,15570
M1 CHALEUR,2016,59994,55761
ECOLE ROMAIN ROLLAND,2016,10338,7980
ECOLE MICHELET - A DE MUSSET,2016,15348,15424
ECOLE ET GYMNASE JOLIOT CURIE + APF ,2016,40807,40532
CENTRE LOISIRS DESNOS,2016,492,97
ECOLE ROBERT DESNOS,2016,2102,1800
ECOLE LA FORET,2016,2970,3844
GS M.MARCHAND,2016,11836,10364
GYMN PABLO NERUDA + PISCINE PLEIN SOLEIL,2016,52603,57513
RPA MADELEINE,2016,10288,5839
ECOLE JACQUES CARTIER,2016,5612,5742
ECOLE JACQUES PREVERT,2016,3955,3990
ECOLE MAT CLOS AU DUC,2016,3702,3163
ECOLE PAUL ELUARD,2016,3378,3795
ECOLE PRIMAIRE CLOS AU DUC,2016,4492,3552
ECOLE PRIMAIRE DU BOHY,2016,5614,5304
GYMNASE DU CANADA,2016,7875,8223
GYMNASE JEAN BART,2016,3346,3601
MAQ CLOS AU DUC,2016,3946,3357
MAQ NETREVILLE,2016,2955,4720
LA POSTE,2016,0,0
HOTEL AGGLOMERATION EVREUX,2016,15795,11435
OREE D'EVREUX 28L,2016,8278,6228
POSTE NETREVILLE,2016,2369,1995
GYMNASE MAXIME MARCHAND,2016,1208,3211
COLLEGE HENRI DUNANT,2016,10933,5491
GSK - BAT ADAM,2016,21102,14597
GSK - BAT CASCADES,2016,33602,19463
GSK - CHAUFFERIE EST N°1,2016,22686,72986
GSK - COMPRIMES 1,2016,6616,19463
GSK - DISKUS,2016,191207,145973
GSK - DISTRIBUTION N°1,2016,100671,29195
